time,raw_reading,batch,capacitance
60,13471764,4,13.13800977
60,13476503,4,13.14032373
60,13474670,4,13.13942871
60,13481004,4,13.14252148
60,13474640,4,13.13941406
60,13480909,4,13.1424751
60,13476383,4,13.14026514
60,13494344,4,13.14903516
60,13473939,4,13.13907178
60,13472445,4,13.13834229
60,13468430,4,13.13638184
60,13479525,4,13.14179932
60,13472988,4,13.13860742
60,13487613,4,13.14574854
60,13481455,4,13.1427417
60,13483161,4,13.14357471
60,13475135,4,13.13965576
60,13483131,4,13.14356006
60,13475250,4,13.13971191
60,13487329,4,13.14560986
60,13477275,4,13.14070068
60,13480486,4,13.14226855
60,13475275,4,13.13972412
60,13478838,4,13.14146387
60,13459994,4,13.1322627
60,13490638,4,13.14722559
60,13475672,4,13.13991797
60,13484632,4,13.14429297
60,13480787,4,13.14241553
60,13473622,4,13.13891699
60,13483906,4,13.14393848
60,13475540,4,13.13985352
60,13488066,4,13.14596973
60,13478460,4,13.1412793
60,13489617,4,13.14672705
60,13476218,4,13.14018457
60,13474166,4,13.13918262
60,13462979,4,13.13372021
60,13463488,4,13.13396875
60,13481534,4,13.14278027
60,13475982,4,13.14006934
60,13478336,4,13.14121875
60,13475319,4,13.13974561
60,13482746,4,13.14337207
60,13484906,4,13.14442676
60,13474106,4,13.13915332
60,13478754,4,13.14142285
60,13466700,4,13.13553711
60,13473121,4,13.13867236
60,13457666,4,13.13112598
60,13489010,4,13.14643066
60,13474213,4,13.13920557
60,13468841,4,13.13658252
60,13485793,4,13.14485986
60,13470712,4,13.13749609
60,13468838,4,13.13658105
60,13480274,4,13.14216504
60,13466168,4,13.13527734
60,13466633,4,13.13550439
60,13465720,4,13.13505859
60,13478438,4,13.14126855
60,13471186,4,13.13772754
60,13465186,4,13.13479785
60,13470616,4,13.13744922
60,13462112,4,13.13329688
60,13456578,4,13.13059473
80,12670603,5,12.74681787
80,12649325,5,12.73642822
80,12664594,5,12.74388379
80,12654792,5,12.73909766
80,12677763,5,12.75031396
80,12647934,5,12.73574902
80,12662854,5,12.74303418
80,12662579,5,12.7428999
80,12659398,5,12.74134668
80,12670476,5,12.74675586
80,12658266,5,12.74079395
80,12650697,5,12.73709814
80,12655473,5,12.73943018
80,12651492,5,12.73748633
80,12666045,5,12.74459229
80,12655652,5,12.73951758
80,12657323,5,12.7403335
80,12656994,5,12.74017285
80,12671588,5,12.74729883
80,12657757,5,12.74054541
80,12657361,5,12.74035205
80,12666359,5,12.74474561
80,12653453,5,12.73844385
80,12653802,5,12.73861426
80,12673166,5,12.74806934
80,12655262,5,12.73932715
80,12668325,5,12.74570557
80,12654101,5,12.73876025
80,12660190,5,12.7417334
80,12659797,5,12.7415415
80,12658589,5,12.74095166
80,12651527,5,12.73750342
80,12656483,5,12.73992334
80,12648789,5,12.7361665
80,12662258,5,12.74274316
80,12657230,5,12.74028809
80,12653353,5,12.73839502
80,12669315,5,12.74618896
80,12646660,5,12.73512695
80,12654000,5,12.73871094
80,12645933,5,12.73477197
80,12660893,5,12.74207666
80,12651239,5,12.73736279
80,12667012,5,12.74506445
80,12628390,5,12.72620605
80,12665859,5,12.74450146
80,12650399,5,12.73695264
80,12647508,5,12.73554102
80,12646331,5,12.73496631
80,12649145,5,12.73634033
80,12660979,5,12.74211865
80,12636690,5,12.73025879
80,12668159,5,12.74562451
80,12644970,5,12.73430176
80,12658256,5,12.74078906
80,12642917,5,12.73329932
80,12656642,5,12.74000098
80,12654617,5,12.73901221
80,12640713,5,12.73222314
80,12667318,5,12.74521387
80,12645684,5,12.73465039
80,12673532,5,12.74824805
80,12662212,5,12.7427207
80,12654627,5,12.73901709
80,12651274,5,12.73737988
80,12659114,5,12.74120801
80,12659968,5,12.741625
80,12656363,5,12.73986475
80,12656815,5,12.74008545
80,12650234,5,12.73687207
80,12669233,5,12.74614893
80,12647399,5,12.73548779
80,12655221,5,12.73930713
80,12645100,5,12.73436523
80,12644121,5,12.73388721
80,12647302,5,12.73544043
80,12649792,5,12.73665625
80,12661839,5,12.74253857
80,12651344,5,12.73741406
80,12661278,5,12.74226465
80,12659389,5,12.74134229
80,12651318,5,12.73740137
80,12645934,5,12.73477246
80,12653555,5,12.73849365
80,12638536,5,12.73116016
80,12650605,5,12.73705322
80,12653014,5,12.73822949
80,12656005,5,12.73968994
80,12658607,5,12.74096045
80,12655918,5,12.73964746
80,12662162,5,12.74269629
80,12649440,5,12.73648438
80,12666844,5,12.74498242
80,12642117,5,12.73290869
80,12655423,5,12.73940576
80,12625795,5,12.72493896
80,12668172,5,12.74563086
80,12637485,5,12.73064697
80,12645366,5,12.73449512
80,12618622,5,12.72143652
80,12660618,5,12.74194238
80,12665875,5,12.74450928
80,12652351,5,12.73790576
80,12668161,5,12.74562549
80,12623715,5,12.72392334
80,12654728,5,12.73906641
80,12642844,5,12.73326367
80,12659835,5,12.74156006
80,12632006,5,12.72797168
80,12650602,5,12.73705176
80,12660234,5,12.74175488
80,12638614,5,12.73119824
80,12668438,5,12.74576074
