paper,capacitance
1.100000000000000000e+01,1.516122200000000000e+07
1.100000000000000000e+01,1.515238100000000000e+07
1.100000000000000000e+01,1.515197700000000000e+07
1.100000000000000000e+01,1.517857800000000000e+07
1.100000000000000000e+01,1.516571900000000000e+07
1.100000000000000000e+01,1.516468200000000000e+07
1.100000000000000000e+01,1.516214300000000000e+07
1.100000000000000000e+01,1.515052800000000000e+07
1.100000000000000000e+01,1.516620500000000000e+07
1.100000000000000000e+01,1.516639200000000000e+07
1.100000000000000000e+01,1.516852800000000000e+07
1.100000000000000000e+01,1.517767500000000000e+07
1.100000000000000000e+01,1.516977500000000000e+07
1.100000000000000000e+01,1.517626900000000000e+07
1.100000000000000000e+01,1.517643100000000000e+07
1.100000000000000000e+01,1.516090300000000000e+07
1.100000000000000000e+01,1.516470600000000000e+07
1.100000000000000000e+01,1.516886900000000000e+07
1.100000000000000000e+01,1.517854300000000000e+07
1.100000000000000000e+01,1.516601500000000000e+07
1.100000000000000000e+01,1.516817100000000000e+07
1.100000000000000000e+01,1.517044500000000000e+07
1.100000000000000000e+01,1.516981700000000000e+07
1.100000000000000000e+01,1.517905000000000000e+07
1.100000000000000000e+01,1.515304600000000000e+07
1.100000000000000000e+01,1.517402200000000000e+07
1.100000000000000000e+01,1.517424700000000000e+07
1.100000000000000000e+01,1.516725900000000000e+07
1.100000000000000000e+01,1.517163800000000000e+07
1.100000000000000000e+01,1.517227900000000000e+07
1.100000000000000000e+01,1.517272400000000000e+07
1.100000000000000000e+01,1.516624100000000000e+07
1.100000000000000000e+01,1.517043900000000000e+07
1.100000000000000000e+01,1.516960500000000000e+07
1.100000000000000000e+01,1.518190900000000000e+07
1.100000000000000000e+01,1.517443300000000000e+07
1.100000000000000000e+01,1.517986500000000000e+07
1.100000000000000000e+01,1.517920300000000000e+07
1.100000000000000000e+01,1.517181700000000000e+07
1.100000000000000000e+01,1.517215600000000000e+07
1.100000000000000000e+01,1.515776900000000000e+07
1.100000000000000000e+01,1.518204700000000000e+07
1.100000000000000000e+01,1.517328000000000000e+07
1.200000000000000000e+01,1.489198900000000000e+07
1.200000000000000000e+01,1.488762900000000000e+07
1.200000000000000000e+01,1.489450000000000000e+07
1.200000000000000000e+01,1.489248100000000000e+07
1.200000000000000000e+01,1.490464600000000000e+07
1.200000000000000000e+01,1.490102800000000000e+07
1.200000000000000000e+01,1.489100400000000000e+07
1.200000000000000000e+01,1.488703900000000000e+07
1.200000000000000000e+01,1.489746000000000000e+07
1.200000000000000000e+01,1.489555200000000000e+07
1.200000000000000000e+01,1.489941600000000000e+07
1.200000000000000000e+01,1.491417000000000000e+07
1.200000000000000000e+01,1.489081900000000000e+07
1.200000000000000000e+01,1.489299500000000000e+07
1.200000000000000000e+01,1.489622900000000000e+07
1.200000000000000000e+01,1.490314500000000000e+07
1.200000000000000000e+01,1.490983800000000000e+07
1.200000000000000000e+01,1.489467900000000000e+07
1.200000000000000000e+01,1.489720600000000000e+07
1.200000000000000000e+01,1.490840400000000000e+07
1.200000000000000000e+01,1.489860900000000000e+07
1.200000000000000000e+01,1.489713900000000000e+07
1.200000000000000000e+01,1.490272400000000000e+07
1.200000000000000000e+01,1.489510900000000000e+07
1.200000000000000000e+01,1.490582100000000000e+07
1.200000000000000000e+01,1.490443300000000000e+07
1.200000000000000000e+01,1.489164800000000000e+07
1.200000000000000000e+01,1.489929400000000000e+07
1.200000000000000000e+01,1.491563000000000000e+07
1.200000000000000000e+01,1.490554500000000000e+07
1.200000000000000000e+01,1.492227800000000000e+07
1.200000000000000000e+01,1.490767800000000000e+07
1.200000000000000000e+01,1.490933300000000000e+07
1.200000000000000000e+01,1.490901200000000000e+07
1.200000000000000000e+01,1.488836800000000000e+07
1.200000000000000000e+01,1.492423900000000000e+07
1.200000000000000000e+01,1.490358000000000000e+07
1.200000000000000000e+01,1.490298500000000000e+07
1.200000000000000000e+01,1.490867400000000000e+07
1.200000000000000000e+01,1.491612700000000000e+07
1.200000000000000000e+01,1.490858400000000000e+07
1.200000000000000000e+01,1.489284400000000000e+07
1.200000000000000000e+01,1.489674500000000000e+07
1.200000000000000000e+01,1.489601200000000000e+07
1.200000000000000000e+01,1.489332200000000000e+07
1.200000000000000000e+01,1.489893300000000000e+07
1.200000000000000000e+01,1.490083400000000000e+07
1.200000000000000000e+01,1.491116800000000000e+07
1.200000000000000000e+01,1.490760000000000000e+07
1.200000000000000000e+01,1.489730200000000000e+07
1.200000000000000000e+01,1.490149400000000000e+07
1.200000000000000000e+01,1.491433500000000000e+07
1.200000000000000000e+01,1.490260500000000000e+07
1.200000000000000000e+01,1.489629300000000000e+07
1.200000000000000000e+01,1.490517500000000000e+07
1.200000000000000000e+01,1.489603000000000000e+07
1.200000000000000000e+01,1.490645600000000000e+07
1.200000000000000000e+01,1.489760500000000000e+07
1.200000000000000000e+01,1.490189200000000000e+07
1.200000000000000000e+01,1.490777100000000000e+07
1.200000000000000000e+01,1.490325200000000000e+07
1.200000000000000000e+01,1.490094500000000000e+07
1.200000000000000000e+01,1.490701600000000000e+07
1.200000000000000000e+01,1.490437400000000000e+07
1.200000000000000000e+01,1.490889600000000000e+07
1.200000000000000000e+01,1.490924700000000000e+07
1.200000000000000000e+01,1.490667000000000000e+07
1.200000000000000000e+01,1.489800900000000000e+07
1.200000000000000000e+01,1.489322800000000000e+07
1.200000000000000000e+01,1.491028100000000000e+07
1.200000000000000000e+01,1.491155800000000000e+07
1.200000000000000000e+01,1.490526100000000000e+07
1.200000000000000000e+01,1.490381200000000000e+07
1.200000000000000000e+01,1.490214300000000000e+07
1.200000000000000000e+01,1.489988100000000000e+07
1.200000000000000000e+01,1.490443400000000000e+07
1.200000000000000000e+01,1.491121100000000000e+07
1.200000000000000000e+01,1.490505900000000000e+07
1.200000000000000000e+01,1.490796200000000000e+07
1.200000000000000000e+01,1.490608400000000000e+07
1.200000000000000000e+01,1.490771300000000000e+07
1.200000000000000000e+01,1.490624500000000000e+07
1.200000000000000000e+01,1.490726300000000000e+07
1.200000000000000000e+01,1.490832500000000000e+07
1.200000000000000000e+01,1.490666300000000000e+07
1.200000000000000000e+01,1.489780800000000000e+07
1.200000000000000000e+01,1.491105900000000000e+07
1.200000000000000000e+01,1.490802800000000000e+07
1.200000000000000000e+01,1.490179000000000000e+07
1.200000000000000000e+01,1.491772000000000000e+07
1.200000000000000000e+01,1.490884500000000000e+07
1.200000000000000000e+01,1.491096500000000000e+07
1.200000000000000000e+01,1.490438200000000000e+07
1.200000000000000000e+01,1.490837400000000000e+07
1.200000000000000000e+01,1.490852300000000000e+07
1.200000000000000000e+01,1.490791300000000000e+07
1.200000000000000000e+01,1.490957300000000000e+07
1.200000000000000000e+01,1.490436300000000000e+07
1.200000000000000000e+01,1.489780900000000000e+07
1.200000000000000000e+01,1.492233100000000000e+07
1.200000000000000000e+01,1.490237200000000000e+07
1.200000000000000000e+01,1.491341600000000000e+07
1.300000000000000000e+01,1.486977800000000000e+07
1.300000000000000000e+01,1.489497600000000000e+07
1.300000000000000000e+01,1.488480700000000000e+07
1.300000000000000000e+01,1.487996300000000000e+07
1.300000000000000000e+01,1.488381500000000000e+07
1.300000000000000000e+01,1.489076900000000000e+07
1.300000000000000000e+01,1.489291000000000000e+07
1.300000000000000000e+01,1.488565000000000000e+07
1.300000000000000000e+01,1.489182400000000000e+07
1.300000000000000000e+01,1.490626100000000000e+07
1.300000000000000000e+01,1.488614800000000000e+07
1.300000000000000000e+01,1.489147200000000000e+07
1.300000000000000000e+01,1.488420600000000000e+07
1.300000000000000000e+01,1.488680300000000000e+07
1.300000000000000000e+01,1.490138500000000000e+07
1.300000000000000000e+01,1.489403200000000000e+07
1.300000000000000000e+01,1.488812700000000000e+07
1.300000000000000000e+01,1.488974200000000000e+07
1.300000000000000000e+01,1.488579400000000000e+07
1.300000000000000000e+01,1.488449900000000000e+07
1.300000000000000000e+01,1.489800500000000000e+07
1.300000000000000000e+01,1.489895900000000000e+07
1.300000000000000000e+01,1.488283400000000000e+07
1.300000000000000000e+01,1.489055300000000000e+07
1.300000000000000000e+01,1.488968700000000000e+07
1.300000000000000000e+01,1.489278900000000000e+07
1.300000000000000000e+01,1.489568200000000000e+07
1.300000000000000000e+01,1.489140700000000000e+07
1.300000000000000000e+01,1.488799900000000000e+07
1.300000000000000000e+01,1.488881500000000000e+07
1.300000000000000000e+01,1.489252700000000000e+07
1.300000000000000000e+01,1.489537200000000000e+07
1.300000000000000000e+01,1.489152800000000000e+07
1.300000000000000000e+01,1.488823000000000000e+07
1.300000000000000000e+01,1.489082300000000000e+07
1.300000000000000000e+01,1.489944000000000000e+07
1.300000000000000000e+01,1.489847700000000000e+07
1.300000000000000000e+01,1.489331700000000000e+07
1.300000000000000000e+01,1.489125200000000000e+07
1.300000000000000000e+01,1.489695900000000000e+07
1.300000000000000000e+01,1.489038300000000000e+07
1.300000000000000000e+01,1.488623600000000000e+07
1.300000000000000000e+01,1.489780700000000000e+07
1.300000000000000000e+01,1.489905000000000000e+07
1.300000000000000000e+01,1.490366700000000000e+07
1.300000000000000000e+01,1.489901900000000000e+07
1.300000000000000000e+01,1.488883700000000000e+07
1.300000000000000000e+01,1.490085100000000000e+07
1.300000000000000000e+01,1.490106800000000000e+07
1.300000000000000000e+01,1.489670100000000000e+07
1.300000000000000000e+01,1.489382600000000000e+07
1.300000000000000000e+01,1.489440300000000000e+07
1.300000000000000000e+01,1.489467100000000000e+07
1.300000000000000000e+01,1.489841000000000000e+07
1.300000000000000000e+01,1.489856000000000000e+07
1.300000000000000000e+01,1.490762100000000000e+07
1.300000000000000000e+01,1.489422400000000000e+07
1.300000000000000000e+01,1.489348700000000000e+07
1.300000000000000000e+01,1.489024200000000000e+07
1.300000000000000000e+01,1.490336600000000000e+07
1.300000000000000000e+01,1.490567100000000000e+07
