separation_distance,capacitance
6.103000000000000647e-01,4.192253000000000000e+06
6.103000000000000647e-01,4.192761000000000000e+06
6.103000000000000647e-01,4.192811000000000000e+06
6.103000000000000647e-01,4.193427000000000000e+06
6.103000000000000647e-01,4.194803000000000000e+06
6.103000000000000647e-01,4.192039000000000000e+06
6.103000000000000647e-01,4.190841000000000000e+06
6.103000000000000647e-01,4.193769000000000000e+06
6.103000000000000647e-01,4.190344000000000000e+06
6.103000000000000647e-01,4.194369000000000000e+06
6.103000000000000647e-01,4.193276000000000000e+06
6.103000000000000647e-01,4.193965000000000000e+06
6.103000000000000647e-01,4.191812000000000000e+06
6.103000000000000647e-01,4.194906000000000000e+06
6.102000000000000757e-01,4.193649000000000000e+06
6.102000000000000757e-01,4.192682000000000000e+06
6.102000000000000757e-01,4.192679000000000000e+06
6.102000000000000757e-01,4.192446000000000000e+06
6.102000000000000757e-01,4.193828000000000000e+06
6.102000000000000757e-01,4.191249000000000000e+06
6.102000000000000757e-01,4.194112000000000000e+06
6.102000000000000757e-01,4.193707000000000000e+06
6.102000000000000757e-01,4.193700000000000000e+06
6.102000000000000757e-01,4.192847000000000000e+06
6.102000000000000757e-01,4.191214000000000000e+06
6.102000000000000757e-01,4.192709000000000000e+06
6.102000000000000757e-01,4.192665000000000000e+06
6.102000000000000757e-01,4.193191000000000000e+06
6.102000000000000757e-01,4.193096000000000000e+06
6.102000000000000757e-01,4.192848000000000000e+06
6.102000000000000757e-01,4.190799000000000000e+06
6.102000000000000757e-01,4.191939000000000000e+06
6.102000000000000757e-01,4.193758000000000000e+06
6.102000000000000757e-01,4.192439000000000000e+06
6.102000000000000757e-01,4.191192000000000000e+06
6.102000000000000757e-01,4.192685000000000000e+06
6.102000000000000757e-01,4.192415000000000000e+06
6.102000000000000757e-01,4.194915000000000000e+06
6.102000000000000757e-01,4.193595000000000000e+06
6.102000000000000757e-01,4.192790000000000000e+06
6.102000000000000757e-01,4.193304000000000000e+06
6.102000000000000757e-01,4.193537000000000000e+06
6.102000000000000757e-01,4.192977000000000000e+06
6.102000000000000757e-01,4.194365000000000000e+06
6.102000000000000757e-01,4.193450000000000000e+06
6.102000000000000757e-01,4.193230000000000000e+06
6.102000000000000757e-01,4.192780000000000000e+06
6.102000000000000757e-01,4.193206000000000000e+06
6.102000000000000757e-01,4.193418000000000000e+06
6.102000000000000757e-01,4.192220000000000000e+06
6.102000000000000757e-01,4.192623000000000000e+06
6.102000000000000757e-01,4.194169000000000000e+06
6.102000000000000757e-01,4.194762000000000000e+06
6.102000000000000757e-01,4.194510000000000000e+06
6.102000000000000757e-01,4.193248000000000000e+06
6.102000000000000757e-01,4.194156000000000000e+06
6.102000000000000757e-01,4.193715000000000000e+06
6.102000000000000757e-01,4.193778000000000000e+06
6.102000000000000757e-01,4.192119000000000000e+06
6.102000000000000757e-01,4.193243000000000000e+06
6.102000000000000757e-01,4.191928000000000000e+06
6.102000000000000757e-01,4.193540000000000000e+06
6.102000000000000757e-01,4.193819000000000000e+06
6.102000000000000757e-01,4.194481000000000000e+06
